Model,Recall_Seizure,precision,recall,f1-score,support
Random Forest,0.28272251308900526,0.8852459016393442,0.28272251308900526,0.42857142857142855,191.0
SVM,0.3036649214659686,0.8787878787878788,0.3036649214659686,0.45136186770428016,191.0
Logistic Regression,0.6230366492146597,0.34593023255813954,0.6230366492146597,0.44485981308411215,191.0
KNN,0.6335078534031413,0.7908496732026143,0.6335078534031413,0.7034883720930233,191.0
AdaBoost,0.11518324607329843,0.41509433962264153,0.11518324607329843,0.18032786885245902,191.0
XGBoost,0.5392670157068062,0.7686567164179104,0.5392670157068062,0.6338461538461538,191.0
